sep=;
"pers_id";"id_ch_parliament";"wikidata_id";"last_name";"first_name"
"CH_Chevallaz_Georges_1915";1790;"";"Chevallaz";"Georges-Andre"
"CH_Chevallaz_Olivier_1946";44;"";"Chevallaz";"Olivier"
"CH_Chevalley_Isabelle_1972";4108;"";"Chevalley";"Isabelle"
"CH_Chevalley_Samuel_1903";1791;"";"Chevalley";"Samuel"
"CH_Chevrier_Maurice_1961";455;"";"Chevrier";"Maurice"
"CH_Chiesa_Marco_1974";4159;"";"Chiesa";"Marco"
"CH_Chiffelle_Pierre_1957";310;"";"Chiffelle";"Pierre"
"CH_Chopard_Max_1929";564;"";"Chopard";"Max"
"CH_Chopard_Max_1966";4007;"";"Chopard-Acklin";"Max"
"CH_Christen_Yves_1941";311;"";"Christen";"Yves"
"CH_Christinat_Amelia_1926";565;"";"Christinat";"Amelia"
"CH_Cina_Jean_1963";456;"";"Cina";"Jean-Michel"
"CH_Cincera_Ernst_1928";45;"";"Cincera";"Ernst"
"CH_Clavadetscher_Christian_1897";1802;"";"Clavadetscher";"Christian"
"CH_Clivaz_Jean_1925";566;"";"Clivaz";"Jean"
"CH_Clottu_Gaston_1912";1806;"";"Clottu";"Gaston"
"CH_Clottu_Raymond_1967";4135;"";"Clottu";"Raymond"
"CH_Colliard_Robert_1887";1807;"";"Colliard";"Robert"
"CH_Columberg_Dumeni_1941";46;"";"Columberg";"Dumeni"
"CH_Comby_Bernard_1939";47;"";"Comby";"Bernard"
"CH_Condrau_Gion_1919";1183;"";"Condrau";"Gion"
"CH_Condrau_Joseph_1894";1811;"";"Condrau";"Josef"
"CH_Conzett_Hans_1915";1813;"";"Conzett";"Hans"
"CH_Copt_Aloys_1923";1184;"";"Copt";"Aloys"
"CH_Corbat_Fernand_1925";1185;"";"Corbat";"Fernand"
"CH_Cornaz_Stefan_1944";266;"";"Cornaz";"Stefan"
"CH_Cossy_Maurice_1920";1819;"";"Cossy";"Maurice"
"CH_Cottet_Joseph_1923";567;"";"Cottet";"Joseph"
"CH_Cotti_Flavio_1939";427;"";"Cotti";"Flavio"
"CH_Cotti_Gianfranco_1929";48;"";"Cotti";"Gianfranco"
"CH_Cottier_Fernand_1901";1821;"";"Cottier";"Fernand"
"CH_Cottier_Henry_1897";1822;"";"Cottier";"Henry"
"CH_Couchepin_Pascal_1942";50;"";"Couchepin";"Pascal"
"CH_Coutau_Gilbert_1936";51;"";"Coutau";"Gilbert"
"CH_Crevoisier_Jean_1938";658;"";"Crevoisier";"Jean-Claude"
"CH_Crittin_Camille_1888";1831;"";"Crittin";"Camille"
"CH_Crottaz_Brigitte_1957";4219;"";"Crottaz";"Brigitte"
"CH_Cuche_Fernand_1946";457;"";"Cuche";"Fernand"
"CH_Daepp_Susanna_1938";52;"";"Daepp-Heiniger";"Susanna"
"CH_Dafflon_Roger_1914";643;"";"Dafflon";"Roger"
"CH_Daguet_Andre_1947";1152;"";"Daguet";"Andre"
"CH_Danuser_Menga_1951";54;"";"Danuser";"Menga"
"CH_Darbellay_Christophe_1971";1133;"";"Darbellay";"Christophe"
"CH_Darbellay_Vital_1929";55;"";"Darbellay";"Vital"
"CH_David_Eugen_1945";57;"";"David";"Eugen"
"CH_Debetaz_Edouard_1917";625;"";"Debetaz";"Edouard"
"CH_Debons_Gilbert_1938";418;"";"Debons";"Gilbert"
"CH_deBuman_Dominique_1956";1124;"";"deBuman";"Dominique"
"CH_deCapitani_Silvio_1925";657;"";"deCapitani";"Silvio"
"CH_deChastonay_Pierre_1931";563;"";"deChastonay";"Pierre"
"CH_deCoulon_Sydney_1889";1851;"";"deCoulon";"Sydney"
"CH_deCourten_Paul_1899";1854;"";"deCourten";"Paul"
"CH_deCourten_Thomas_1966";4051;"";"deCourten";"Thomas"
"CH_Decurtins_Walter_1938";458;"";"Decurtins";"Walter"
"CH_deDardel_Jean_1943";56;"";"deDardel";"Jean-Nils"
"CH_Degen_Walter_1904";1894;"";"Degen";"Walter"
"CH_Deglise_Elisabeth_1931";728;"";"Deglise";"Elisabeth"
"CH_Deiss_Joseph_1946";58;"";"Deiss";"Joseph"
"CH_Delamuraz_Jean_1936";659;"";"Delamuraz";"Jean-Pascal"
"CH_delaReussille_Denis_1960";4201;"";"delaReussille";"Denis"
"CH_Dellberg_Karl_1886";1900;"";"Dellberg";"Karl"
"CH_Deneys_Heidi_1937";568;"";"Deneys";"Heidi-May"
"CH_Deonna_Raymond_1910";1905;"";"Deonna";"Raymond"
"CH_Derder_Fathi_1970";4079;"";"Derder";"Fathi"
"CH_deSenarclens_Aymon_1905";1875;"";"deSenarclens";"Aymon"
"CH_Despland_Gabriel_1901";1908;"";"Despland";"Gabriel"
"CH_Dettling_Marcel_1981";4160;"";"Dettling";"Marcel"
"CH_Dettling_Toni_1943";60;"";"Dettling";"Toni"
"CH_Devenoge_Francois_1899";1912;"";"Devenoge";"Francois"
"CH_Diener_Verena_1949";61;"";"Diener-Lenz";"Verena"
"CH_Diethelm_Josef_1914";1914;"";"Diethelm-Dobler";"Josef"
"CH_Dietrich_Franz_1928";729;"";"Dietrich";"Franz"
"CH_Dietschi_Eugen_1896";1916;"";"Dietschi";"Eugen"
"CH_Dietschi_Urs_1901";1918;"";"Dietschi";"Urs"
"CH_Dirren_Herbert_1941";569;"";"Dirren";"Herbert"
"CH_Dobler_Marcel_1980";4190;"";"Dobler";"Marcel"
"CH_Donati_Franco_1932";422;"";"Donati";"Franco"
"CH_Donze_Walter_1946";797;"";"Donze";"Walter"
"CH_Dormann_Rosmarie_1947";63;"";"Dormann";"Rosmarie"
"CH_Dormond_Marlyse_1949";459;"";"Dormond-Beguelin";"Marlyse"
"CH_Doswald_Adolf_1894";1927;"";"Doswald";"Adolf"
"CH_Dreher_Michael_1944";64;"";"Dreher";"Michael-E"
"CH_Droz_Armand_1903";1929;"";"Droz";"Armand"
"CH_Dubois_Jean_1917";1933;"";"Dubois";"Jean-Pierre"
"CH_Dubois_Marcel_1928";570;"";"Dubois";"Marcel"
"CH_Duboule_Gilbert_1925";660;"";"Duboule";"Gilbert"
"CH_Ducret_Dominique_1943";65;"";"Ducret";"Dominique"
"CH_Ducrot_Rose_1937";312;"";"Ducrot";"Rose-Marie"
"CH_Dueby_Hans_1906";1937;"";"Dueby";"Hans"
"CH_Dueby_Kurt_1900";1938;"";"Dueby";"Kurt-Rudolf"
"CH_Duenki_Max_1932";66;"";"Duenki";"Max"
"CH_Duerr_Andreas_1923";661;"";"Duerr";"Andreas"
"CH_Duerrenmatt_Peter_1904";1951;"";"Duerrenmatt";"Peter"
"CH_Duft_Emil_1895";1945;"";"Duft";"Emil"
"CH_Dunant_Jean_1934";460;"";"Dunant";"Jean-Henri"
"CH_Dupont_Bernard_1933";571;"";"Dupont";"Bernard"
"CH_Dupraz_John_1945";313;"";"Dupraz";"John"
"CH_Durrer_Adalbert_1950";314;"";"Durrer";"Adalbert"
"CH_Duss_Josef_1900";1956;"";"Duss";"Josef"
"CH_Duttweiler_Gottlieb_1888";1957;"";"Duttweiler";"Gottlieb"
"CH_Duvanel_Pierre_1912";1188;"";"Duvanel";"Pierre"
"CH_Duvoisin_Pierre_1938";67;"";"Duvoisin";"Pierre"
"CH_Eberhard_Anton_1949";315;"";"Eberhard";"Anton"
"CH_Eberhard_Barbara_1945";293;"";"Eberhard-Halter";"Barbara"
"CH_Eder_Carl_1892";1961;"";"Eder";"Carl"
