sep=;
"mismatch_type";"expected_parliament_ids";"days_start_vs_period";"days_end_vs_period";"res_entry_id";"pers_id";"res_entry_start";"res_entry_end";"parliament_id"
"starts_before_period";"CA_NT-HC_1988;CA_NT-HC_1994";-21;-12;"CA_Anawak_Jack_1950__01";"CA_Anawak_Jack_1950";"21nov1988";"15apr1997";"CA_NT-HC_1988;CA_NT-HC_1994"
"starts_before_period";"CA_NT-HC_1997";-112;-210;"CA_Anders_Rob_1972__01";"CA_Anders_Rob_1972";"02jun1997";"26mar2000";"CA_NT-HC_1997"
"ends_after_period";"CA_NT-HC_2001;CA_NT-HC_2004;CA_NT-HC_2006;CA_NT-HC_2008;CA_NT-HC_2011";1058;77;"CA_Anders_Rob_1972__03";"CA_Anders_Rob_1972";"23dec2003";"18oct2015";"CA_NT-HC_2001;CA_NT-HC_2004;CA_NT-HC_2006;CA_NT-HC_2008;CA_NT-HC_2011"
"starts_before_period,ends_after_period";"CA_NT-HC_1926jan;CA_NT-HC_1926dec;CA_NT-HC_1930";-70;60;"CA_Anderson_Alexander_1863__01";"CA_Anderson_Alexander_1863";"29oct1925";"13oct1935";"CA_NT-HC_1926jan;CA_NT-HC_1926dec;CA_NT-HC_1930"
"starts_before_period,ends_after_period";"CA_NT-HC_1936";-115;60;"CA_Anderson_Alexander_1863__02";"CA_Anderson_Alexander_1863";"14oct1935";"25mar1940";"CA_NT-HC_1936"
"starts_before_period,ends_after_period";"CA_NT-HC_1940";-51;48;"CA_Anderson_Alexander_1863__03";"CA_Anderson_Alexander_1863";"26mar1940";"03jun1945";"CA_NT-HC_1940"
"starts_before_period";"CA_NT-HC_1968";-79;-39;"CA_Anderson_David_1937__01";"CA_Anderson_David_1937";"25jun1968";"24jul1972";"CA_NT-HC_1968"
"starts_before_period,ends_after_period";"CA_NT-HC_1994;CA_NT-HC_1997;CA_NT-HC_2001;CA_NT-HC_2004";-84;54;"CA_Anderson_David_1937__02";"CA_Anderson_David_1937";"25oct1993";"22jan2006";"CA_NT-HC_1994;CA_NT-HC_1997;CA_NT-HC_2001;CA_NT-HC_2004"
"starts_before_period";"CA_NT-HC_2001";-63;-153;"CA_Anderson_David_1957__01";"CA_Anderson_David_1957";"27nov2000";"22dec2003";"CA_NT-HC_2001"
"ends_after_period";"CA_NT-HC_2001;CA_NT-HC_2004;CA_NT-HC_2006;CA_NT-HC_2008;CA_NT-HC_2011;CA_NT-HC_2015";1058;39;"CA_Anderson_David_1957__02";"CA_Anderson_David_1957";"23dec2003";"20oct2019";"CA_NT-HC_2001;CA_NT-HC_2004;CA_NT-HC_2006;CA_NT-HC_2008;CA_NT-HC_2011;CA_NT-HC_2015"
"starts_before_period,ends_after_period";"CA_NT-HC_1988";-21;46;"CA_Anderson_Edna_1922__01";"CA_Anderson_Edna_1922";"21nov1988";"24oct1993";"CA_NT-HC_1988"
"starts_before_period,ends_after_period";"CA_NT-HC_1974";-84;56;"CA_Anderson_Hugh_1933__01";"CA_Anderson_Hugh_1933";"08jul1974";"21may1979";"CA_NT-HC_1974"
"starts_before_period,ends_after_period";"CA_NT-HC_1949;CA_NT-HC_1953";-80;58;"CA_Anderson_Raymond_1891__01";"CA_Anderson_Raymond_1891";"27jun1949";"09jun1957";"CA_NT-HC_1949;CA_NT-HC_1953"
"starts_before_period,ends_after_period";"CA_NT-HC_1918";-91;62;"CA_Anderson_Robert_1861__01";"CA_Anderson_Robert_1861";"17dec1917";"05dec1921";"CA_NT-HC_1918"
"extra_listed_id,starts_before_period";"CA_NT-HC_1922;CA_NT-HC_1926jan;CA_NT-HC_1926dec;CA_NT-HC_1930";-92;-1564;"CA_Anderson_Robert_1861__02";"CA_Anderson_Robert_1861";"06dec1921";"14oct1935";"CA_NT-HC_1922;CA_NT-HC_1926jan;CA_NT-HC_1926dec;CA_NT-HC_1930;CA_NT-HC_1936"
"starts_before_period";"CA_NT-HC_2025";-28;-268;"CA_Anderson_Scott_9999__01";"CA_Anderson_Scott_9999";"28apr2025";"07apr2026";"CA_NT-HC_2025"
"starts_before_period";"CA_NT-HC_1957;CA_NT-HC_1958";-126;-317;"CA_Anderson_William_1905__01";"CA_Anderson_William_1905";"10jun1957";"06jun1961";"CA_NT-HC_1957;CA_NT-HC_1958"
"starts_before_period,ends_after_period";"CA_NT-HC_1966;CA_NT-HC_1968;CA_NT-HC_1973;CA_NT-HC_1974";-71;56;"CA_Andras_Robert_1921__01";"CA_Andras_Robert_1921";"08nov1965";"21may1979";"CA_NT-HC_1966;CA_NT-HC_1968;CA_NT-HC_1973;CA_NT-HC_1974"
"starts_before_period,ends_after_period";"CA_NT-HC_1979";-140;65;"CA_Andras_Robert_1921__02";"CA_Andras_Robert_1921";"22may1979";"17feb1980";"CA_NT-HC_1979"
