sep=;
"pers_id";"id_nl_pdc_num";"id_nl_pdc_code";"id_nl_pdc_bio_id";"id_nl_pdc_slug";"last_name";"first_name";"death_date"
"NL_Dubbelboer_Niesco_1962";2407;;21021;"drs-jn-niesco-dubbelboer";"Dubbelboer";"Niesco";
"NL_Duijkers_Desiree_1953";2215;;19040;"drs-mdfgm-desiree-duijkers";"Duijkers";"Desiree";
"NL_Duisenberg_Pieter_1967";3304;"vizxd9b2ltw4";22154;"drs-pj-pieter-duisenberg";"Duisenberg";"Pieter";
"NL_Duivesteijn_Adri_1950";2513;;19135;"ath-adri-duivesteijn";"Duivesteijn";"Adri";
"NL_Duyn_Loek_1944";2826;;19424;"ljj-loek-duyn";"Duyn";"Loek";
"NL_Duyvendak_Wijnand_1957";2307;;20841;"ajw-wijnand-duyvendak";"Duyvendak";"Wijnand";
"NL_Eberhard_Cor_1947";2359;;20950;"cr-cor-eberhard";"Eberhard";"Cor";
"NL_Eerdmans_Joost_1971";2365;"vg9fgopy6zxw";20960;"bj-joost-eerdmans";"Eerdmans";"Joost";
"NL_Eijsink_Angelien_1960";2404;"vge7dtpnb9zp";21024;"drs-amc-angelien-eijsink";"Eijsink";"Angelien";
"NL_Eisma_Doeke_1939";1762;;18652;"drs-d-doeke-eisma";"Eisma";"Doeke";
"NL_elFassed_Arjan_1973";3228;;21880;"drs-arjan-el-fassed";"elFassed";"Arjan";
"NL_Elias_Ton_1955";3064;"vhdl1erfczz5";21347;"tmch-ton-elias";"Elias";"Ton";
"NL_Elissen_Andre_1960";3235;;21937;"andre-elissen";"Elissen";"Andre";
"NL_Elsthout_Willem_1963";2867;;19465;"w-willem-elsthout";"Elsthout";"Willem";
"NL_Engwirda_Maarten_1943";1950;;18840;"drs-mb-maarten-engwirda";"Engwirda";"Maarten";
"NL_Epema_Meiny_1930";1665;;18555;"drs-m-meiny-epema-brugman";"Epema-Brugman";"Meiny";
"NL_Ernsting_Marius_1947";2797;;19395;"drs-m-marius-ernsting";"Ernsting";"Marius";
"NL_Eshuis_Evelien_1942";2733;;19331;"drs-el-evelien-eshuis";"Eshuis";"Evelien";
