"pers_id";"id_nl_pdc_num";"id_nl_pdc_code";"id_nl_pdc_bio_id";"id_nl_pdc_slug";"last_name";"first_name";"wikidata_id"
"NL_Boers_Mieke_1946";2825;;19423;"drs-mha-mieke-boers-wijnberg";"Boers-Wijnberg";"Mieke";""
"NL_Boersma_Jaap_1929";146;;17037;"drs-j-jaap-boersma";"Boersma";"Jaap";""
"NL_Boertien_Kees_1927";147;;17038;"dr-c-kees-boertien";"Boertien";"Kees";""
"NL_Bogaardt_Willem_1862";150;;17041;"wh-bogaardt";"Bogaardt";"Willem-Hendrik";""
"NL_Bogaers_Pieter_1924";151;;17042;"drs-pcwm-pieter-bogaers";"Bogaers";"Pieter";""
"NL_Boissevain_Walrave_1876";152;;17043;"w-walrave-boissevain";"Boissevain";"Walrave";""
"NL_Bolhuis_Eppo_1953";1845;;18735;"drir-ee-eppo-bolhuis";"Bolhuis";"Eppo";""
"NL_Bolkestein_Frits_1933";2604;;19202;"mrdrs-f-frits-bolkestein";"Bolkestein";"Frits";""
"NL_Bolsius_Frans_1869";153;;17044;"mr-fj-frank-bolsius";"Bolsius";"Frans";""
"NL_Bomans_Jan_1885";154;;17045;"mr-jb-jan-bomans";"Bomans";"Jan";""
"NL_Bommer_Jan_1901";155;;17046;"j-jan-bommer";"Bommer";"Jan";""
"NL_Bongaerts_Max_1875";157;;17048;"ir-mche-max-bongaerts";"Bongaerts";"Max";""
"NL_Bonke_Vic_1940";2355;;20947;"dr-fim-vic-bonke";"Bonke";"Vic";""
"NL_Boogaard_Leo_1928";2504;;19126;"lech-leo-boogaard";"Boogaard-sen";"Leo";""
"NL_Boogaerdt_Meindert_1849";159;;17050;"m-boogaerdt-mzn";"Boogaerdt";"Meindert";""
"NL_Bool_Hendrik_1828";160;;17051;"hj-bool";"Bool";"Hendrik-Johannes";""
"NL_Boon_Gerard_1882";161;;17052;"mr-ga-boon";"Boon";"Gerard-Adolf";""
"NL_Boot_Gijs_1914";162;;17053;"mr-gaam-gijs-boot";"Boot";"Gijs";""
"NL_Boreel_Jacob_1852";164;;17055;"jhrmr-jwg-boreel-van-hogelanden";"Boreel-vanHogelanden";"Jacob-Willem-Gustaaf";""
"NL_Boreel_Willem_1800";165;;17056;"jhrmr-w-boreel-van-hogelanden";"Boreel-vanHogelanden";"Willem";""
"NL_Borgman_Fred_1946";2619;;19217;"f-fred-borgman";"Borgman";"Fred";""
"NL_Borm_Bets_1918";2705;;19303;"emw-bets-borm-luijkx";"Borm-Luijkx";"Bets";""
"NL_Borret_Eduardus_1816";167;;17058;"mr-ejh-borret";"Borret";"Eduardus-Josephus-Hubertus";""
"NL_Borret_Ferdinandus_1819";168;;17059;"fhh-borret";"Borret";"Ferdinandus-Hendricus-Hubertus";""
"NL_Borret_Theodorus_1846";169;;17060;"mr-thlmh-borret";"Borret";"Theodorus-Lebuinus-Maria-Hubertus";""
"NL_Borst_Cor_1891";173;;17064;"c-cor-borst";"Borst";"Cor";""
"NL_Borst_Els_1932";1615;;18505;"dr-e-els-borst-eilers";"Borst-Eilers";"Els";""
"NL_Bos_Corstiaan_1923";174;;17065;"mr-ca-corstiaan-bos";"Bos";"Corstiaan";""
"NL_Bos_Dirk_1862";175;;17066;"dr-d-dirk-bos";"Bos";"Dirk";""
"NL_Bos_Frederik_1866";176;;17067;"f-bos";"Bos";"Frederik";""
"NL_Bos_Wouter_1963";2212;;19037;"drs-wj-wouter-bos";"Bos";"Wouter";""
"NL_Bosgra_Okke_1835";182;;17073;"ot-bosgra";"Bosgra";"Okke-Tietes";""
"NL_Bosman_Clemens_1946";2786;;19384;"cma-clemens-bosman";"Bosman";"Clemens";""
"NL_Bosscha_Joannes_1797";183;;17074;"dr-j-bosscha";"Bosscha";"Joannes";""
"NL_Bot_Theo_1911";185;;17076;"mr-thh-theo-bot";"Bot";"Theo";""
"NL_Bots_Johannes_1806";186;;17077;"mr-jb-bots";"Bots";"Johannes-Baptista";""
"NL_Botterweg_Hendrik_1888";187;;17078;"h-botterweg";"Botterweg";"Hendrik";""
"NL_Bouchibti_Samira_1970";3081;;21378;"s-samira-bouchibti";"Bouchibti";"Samira";""
"NL_Bouman_Abraham_1851";188;;17079;"bouman";"Bouman";"Abraham";""
"NL_Boxman_Abraham_1796";189;;17080;"mr-boxman";"Boxman";"Abraham";""
"NL_Braakhuis_Bruno_1961";3227;;21879;"bam-bruno-braakhuis";"Braakhuis";"Bruno";""
"NL_Braams_Reinier_1923";1884;;18774;"dr-r-reinier-braams";"Braams";"Reinier";""
"NL_Braat_Arend_1874";191;;17082;"arend-braat";"Braat";"Arend";""
"NL_Braks_Gerrit_1933";1885;;18775;"ir-gjm-gerrit-braks";"Braks";"Gerrit";""
"NL_Brandsen_Bertus_1914";194;;17085;"b-bertus-brandsen";"Brandsen";"Bertus";""
"NL_Brandsma_Cor_1904";195;;17086;"c-cor-brandsma";"Brandsma";"Cor";""
"NL_Brants_Maurits_1853";196;;17087;"dr-ma-brants";"Brants";"Maurits-Anton";""
"NL_Brantsen_Carel_1834";197;;17088;"jhr-cm-brantsen";"Brantsen";"Carel-Marie";""
"NL_Brautigam_Gerda_1913";199;;17090;"g-gerda-brautigam";"Brautigam";"Gerda";""
"NL_Brautigam_Johan_1878";200;;17091;"j-johan-brautigam";"Brautigam";"Johan";""
"NL_Bredius_Jan_1811";202;;17093;"jp-bredius";"Bredius";"Jan-Pieter";""
"NL_Bredius_Jan_1841";203;;17094;"jp-bredius-jr";"Bredius";"Jan-Pieter";""
"NL_Bremen_Wiel_1925";1652;;18542;"wg-wiel-bremen";"Bremen";"Wiel";""
"NL_Bremmer_Cees_1948";2569;;19191;"mrdrs-c-cees-bremmer";"Bremmer";"Cees";""
"NL_Brinkel_Theo_1958";2440;;20999;"dr-thbfm-theo-brinkel";"Brinkel";"Theo";""
"NL_Brinkhorst_Laurens_1937";1738;;18628;"mr-lj-laurens-jan-brinkhorst";"Brinkhorst";"Laurens-Jan";""
"NL_Brinkman_Elco_1948";2748;;19346;"mrdrs-lc-elco-brinkman";"Brinkman";"Elco";""
"NL_Brinkman_Hero_1964";3099;;21428;"h-hero-brinkman";"Brinkman";"Hero";""
"NL_Broekhuis_Bert_1943";2708;;19306;"drs-ewh-bert-broekhuis";"Broekhuis";"Bert";""
"NL_Brokx_Gerrit_1933";1822;;18712;"mr-gph-gerrit-brokx";"Brokx";"Gerrit";""
"NL_Bronsveld_Charlotte_1871";213;;17104;"schc-charlotte-bronsveld-vitringa";"Bronsveld-Vitringa";"Charlotte";""
"NL_Brood_Philippe_1964";2214;;19039;"mr-phg-philippe-brood";"Brood";"Philippe";""
"NL_Broos_Rinus_1900";214;;17105;"mf-rinus-broos";"Broos";"Rinus";""
"NL_Brouwer_B_1826";215;;17106;"mr-b-brouwer";"Brouwer";"B";""
"NL_Brouwer_Ina_1950";2662;;19260;"mr-i-ina-brouwer";"Brouwer";"Ina";""
"NL_Brouwer_Tiemen_1916";216;;17107;"mr-t-tiemen-brouwer";"Brouwer";"Tiemen";""
"NL_Brouwers_Hubert_1833";217;;17108;"mr-hj-brouwers";"Brouwers";"Hubert-Joachim";""
"NL_Bruggeman_Hans_1927";220;;17111;"aj-hans-bruggeman-jr";"Bruggeman-jun";"Hans";""
"NL_Bruggeman_Jan_1927";2799;;19397;"drs-jg-jan-bruggeman";"Bruggeman";"Jan";""
